线路名,起点,终点,运营日期,首班车时间,末班车时间,票价,折扣方式,具体站点信息
K82路,黄岗,趵突泉东门,发车时间,5:55,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K82路,趵突泉东门,黄岗,发车时间,6:00,21:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K83路,地铁二环西路站,解放桥,发车时间,5:30,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K83路,解放桥,地铁二环西路站,发车时间,6:05,21:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
B84路,赵家庄,济南站,发车时间,5:25,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B84路,济南站,赵家庄,发车时间,6:10,22:45,2元,济南公交刷卡、支付宝八折优惠,站点详情
K85路,金阁花园,千佛山南路千佛山西路,发车时间,5:50,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K85路,千佛山南路千佛山西路,金阁花园,发车时间,6:00,21:45,2元,济南公交刷卡、支付宝八折优惠,站点详情
K86路,济南大学,山东联合大学,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K86路,山东联合大学,济南大学,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K87路,公交驾校,解放桥东,发车时间,6:00,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K87路,解放桥东,公交驾校,发车时间,6:00,21:10,2元,济南公交刷卡、支付宝八折优惠,站点详情
K88路,仲宫,经八路青年西路,发车时间,5:45,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K88路,经八路青年西路,仲宫,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
游88路,大明湖火车站,柳埠驿站,法定节假日,8:30,9:30,5元,济南公交刷卡、支付宝八折优惠,站点详情
881路,仲宫,九顶塔,发车时间,7:30,18:00,1元,济南公交刷卡、支付宝八折优惠,站点详情
游88路,柳埠驿站 ,大明湖火车站,发车时间,14:00,15:00,5元,济南公交刷卡、支付宝八折优惠,站点详情
